41,177,,0
322,2303,,26.376848
659,5350,,63.93497119
941,8138,,106.4536033
844,7166,,152.2564547
160,963,,200.5231073
396,2904,,250.7633057
93,497,,302.6502713
258,1747,,355.9503815
727,5998,,410.4882151
809,6824,,466.1271722
144,854,,522.7578523
382,2812,,580.290656
350,2544,,638.6508493
715,5899,,697.7751445
345,2463,,757.6092554
570,4479,,818.1061028
647,5231,,879.2244682
347,2506,,940.9279627
65,307,,1003.184225
99,543,,1065.964287
707,5804,,1129.242066
560,4415,,1192.993957
832,7032,,1257.198491
161,979,,1321.836061
361,2617,,1386.888688
479,3666,,1452.339826
198,1269,,1518.1742
279,1903,,1584.377662
508,3939,,1650.937071
417,3104,,1717.84019
434,3264,,1785.075596
371,2711,,1852.632601
434,3252,,1920.501182
184,1164,,1988.671925
912,7814,,2057.135964
172,1061,,2125.884943
862,7328,,2194.910965
897,7706,,2264.206562
935,8085,,2333.764656
344,2487,,2403.578532
535,4161,,2473.641811
653,5311,,2543.948423
779,6543,,2614.492587
955,8261,,2685.26879
569,4504,,2756.27177
272,1872,,2827.496498
924,7950,,2898.938162
621,5022,,2970.592157
940,8092,,3042.454067
580,4608,,3114.519657
439,3305,,3186.784861
979,8499,,3259.245772
787,6599,,3331.898633
358,2561,,3404.73983
814,6844,,3477.76588
919,7885,,3550.973428
362,2643,,3624.359239
610,4889,,3697.92019
59,278,,3771.653266
246,1654,,3845.555556
135,782,,3919.624242
234,1553,,3993.856602
922,7927,,4068.249999
172,1071,,4142.801882
65,310,,4217.509777
195,1237,,4292.371288
70,344,,4367.384091
669,5464,,4442.54593
563,4441,,4517.854618
98,526,,4593.308029
617,4942,,4668.904098
182,1135,,4744.640818
241,1608,,4820.516239
813,6843,,4896.528463
997,8702,,4972.675644
309,2168,,5048.955985
193,1219,,5125.367736
51,232,,5201.909192
441,3325,,5278.578693
999,8698,,5355.374619
49,211,,5432.295392
980,8518,,5509.339473
736,6090,,5586.50536
972,8433,,5663.791586
667,5426,,5741.196721
504,3878,,5818.719368
873,7445,,5896.358162
775,6469,,5974.111768
304,2155,,6051.978885
789,6608,,6129.958237
936,8082,,6208.048579
466,3549,,6286.248693
922,7919,,6364.557387
488,3743,,6442.973494
55,253,,6521.495873
635,5117,,6600.123407
483,3712,,6678.855001
225,1485,,6757.689583
848,7183,,6836.626104
591,4675,,
